,index,Date/Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,0,2012-01-01 00:00:00,-1.8,-3.9,86,4,8.0,101.24,Fog
1,1,2012-01-01 01:00:00,-1.8,-3.7,87,4,8.0,101.24,Fog
2,2,2012-01-01 02:00:00,-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog"
3,3,2012-01-01 03:00:00,-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog"
4,4,2012-01-01 04:00:00,-1.5,-3.3,88,7,4.8,101.23,Fog
5,5,2012-01-01 05:00:00,-1.4,-3.3,87,9,6.4,101.27,Fog
6,6,2012-01-01 06:00:00,-1.5,-3.1,89,7,6.4,101.29,Fog
7,7,2012-01-01 07:00:00,-1.4,-3.6,85,7,8.0,101.26,Fog
8,8,2012-01-01 08:00:00,-1.4,-3.6,85,9,8.0,101.23,Fog
9,9,2012-01-01 09:00:00,-1.3,-3.1,88,15,4.0,101.2,Fog
10,10,2012-01-01 10:00:00,-1.0,-2.3,91,9,1.2,101.15,Fog
11,11,2012-01-01 11:00:00,-0.5,-2.1,89,7,4.0,100.98,Fog
12,12,2012-01-01 12:00:00,-0.2,-2.0,88,9,4.8,100.79,Fog
13,13,2012-01-01 13:00:00,0.2,-1.7,87,13,4.8,100.58,Fog
14,14,2012-01-01 14:00:00,0.8,-1.1,87,20,4.8,100.31,Fog
15,15,2012-01-01 15:00:00,1.8,-0.4,85,22,6.4,100.07,Fog
16,16,2012-01-01 16:00:00,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy
17,17,2012-01-01 17:00:00,3.0,0.0,81,13,16.1,99.81,Cloudy
18,18,2012-01-01 18:00:00,3.8,1.0,82,15,12.9,99.74,Rain
19,19,2012-01-01 19:00:00,3.1,1.3,88,15,12.9,99.68,Rain
20,20,2012-01-01 20:00:00,3.2,1.3,87,19,25.0,99.5,Cloudy
21,21,2012-01-01 21:00:00,4.0,1.7,85,20,25.0,99.39,Cloudy
22,22,2012-01-01 22:00:00,4.4,1.9,84,24,19.3,99.32,Rain Showers
23,23,2012-01-01 23:00:00,5.3,2.0,79,30,25.0,99.31,Cloudy
24,24,2012-01-02 00:00:00,5.2,1.5,77,35,25.0,99.26,Rain Showers
25,25,2012-01-02 01:00:00,4.6,0.0,72,39,25.0,99.26,Cloudy
26,26,2012-01-02 02:00:00,3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy
27,27,2012-01-02 03:00:00,3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy
28,28,2012-01-02 04:00:00,2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy
29,29,2012-01-02 05:00:00,2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy
30,30,2012-01-02 06:00:00,2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy
31,31,2012-01-02 07:00:00,2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy
32,32,2012-01-02 08:00:00,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy
33,33,2012-01-02 09:00:00,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy
34,34,2012-01-02 10:00:00,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy
35,35,2012-01-02 11:00:00,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy
36,36,2012-01-02 12:00:00,1.7,-6.2,56,48,24.1,99.21,Mainly Clear
37,37,2012-01-02 13:00:00,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy
38,38,2012-01-02 14:00:00,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy
39,39,2012-01-02 15:00:00,0.0,-7.0,59,33,24.1,99.41,Mostly Cloudy
